EDINET CODE,証券コード,会社名,33業種区分,17業種区分,規模区分
E04237,91070,川崎汽船株式会社,海運業,運輸・物流 ,4
E02525,80740,ユアサ商事株式会社,卸売業,商社・卸売 ,6
E04919,96000,株式会社アイネット,情報・通信業,情報通信・サービスその他 ,7
E01653,64550,株式会社モリタホールディングス,輸送用機器,自動車・輸送機 ,7
E03674,85630,株式会社大東銀行,銀行業,銀行 ,7
E02528,80530,住友商事株式会社,卸売業,商社・卸売 ,2
E03573,83740,株式会社三重銀行,銀行業,銀行 ,7
E04106,90440,南海電気鉄道株式会社,陸運業,運輸・物流 ,4
E02189,64930,日鍛バルブ株式会社,輸送用機器,自動車・輸送機 ,
E04638,,通天閣観光株式会社,,,
E04233,32320,三重交通グループホールディングス株式会社,不動産業,不動産 ,7
E04926,46650,株式会社ダスキン,サービス業,情報通信・サービスその他 ,4
E01284,56070,中央可鍛工業株式会社,,,
E02236,72290,株式会社ユタカ技研,輸送用機器,自動車・輸送機 ,
E00878,44010,株式会社ＡＤＥＫＡ,化学,素材・化学 ,4
E01695,62930,日精樹脂工業株式会社,機械,機械 ,7
E00650,38780,株式会社　巴川製紙所,パルプ・紙,素材・化学 ,7
E05688,38480,株式会社データ・アプリケーション,情報・通信業,情報通信・サービスその他 ,
E25662,70220,サノヤスホールディングス株式会社,輸送用機器,自動車・輸送機 ,7
E00737,39560,国際チャート株式会社,パルプ・紙,素材・化学 ,
E03561,83250,株式会社北越銀行,銀行業,銀行 ,7
E05120,47830,日本コンピュータ・ダイナミクス株式会社,情報・通信業,情報通信・サービスその他 ,
E04360,93700,郵船ロジスティクス株式会社,倉庫・運輸関連業,運輸・物流 ,7
E01928,69260,岡谷電機産業株式会社,電気機器,電機・精密 ,7
E00569,35710,株式会社ソトー,繊維製品,素材・化学 ,7
E03460,33750,株式会社ＺＯＡ,小売業,小売 ,
E03938,88440,株式会社コスモスイニシア,不動産業,不動産 ,
